episode,length,total_reward,avg_q,exploration
0,2204,-140.93401160599058,0.045599002,0.9950248756218907
1,2489,-87.5734488623903,0.25104302,0.990074503106359
2,1482,-87.39274599395294,0.014643768,0.98514875930981
3,1102,-91.71250922837874,0.10414036,0.9802475217013037
4,1425,-100.77064361265087,0.22052324,0.9753706683595063
5,2299,-164.48467595440394,0.55708176,0.970518077969658
6,1425,-177.58734972913788,0.43305746,0.9656896298205554
7,2090,-384.14559549818847,0.4523309,0.9608852038015477
8,1368,-100.25287709776283,0.45253587,0.9561046803995501
9,1805,-234.53541398619473,0.45558327,0.9513479406960699
10,1976,-146.27775339133075,0.9079782,0.9466148663642487
11,1387,-74.64351593146773,1.3306081,0.9419053396659193
12,1881,-442.2563263249454,0.965682,0.937219243448676
13,1368,-279.44967700873707,1.1349726,0.9325564611429613
14,1159,-104.0006890057377,1.1112444,0.9279168767591656
15,2166,-341.0541498051226,1.1837614,0.9233003748847419
16,1729,-84.46466591789066,0.9450388,0.9187068406813353
17,1919,-126.06702046429888,1.2049729,0.9141361598819259
18,1387,-85.90239407194039,1.0464127,0.909588218787986
19,1824,-325.9875376627924,1.0319251,0.9050629042666528
20,1957,-419.68022700246473,0.7778262,0.9005601037479133
21,1634,-302.63649398683026,1.065111,0.8960797052218044
22,2090,-134.7673548814394,1.5341651,0.8916215972356263
23,1254,-71.0132690357207,1.5681993,0.8871856688911706
24,2945,-128.29486881776296,1.4546779,0.8827718098419609
25,1539,-339.30018644713755,1.4366953,0.8783799102905084
26,1805,-138.9545718860843,1.546581,0.8740098609855806
27,2964,-129.17762778271754,1.5840666,0.8696615532194834
28,1368,-95.88507631972597,1.5522541,0.8653348788253566
29,1824,-173.81806994909377,1.3454607,0.8610297301744844
30,1406,-112.39505827829804,1.2687824,0.8567460001736164
31,2014,-110.4978658028207,1.7380192,0.8524835822623049
32,2033,-75.38633721013308,2.3568056,0.8482423704102537
33,1615,-292.8507597504122,1.7227129,0.8440222591146804
34,1311,-71.95097859088163,2.1349053,0.839823143397692
35,1311,-115.57215046205621,2.0846155,0.8356449188036738
36,1729,-320.819840366256,2.359261,0.8314874813966904
37,2147,-54.92348451774961,2.1644084,0.827350727757901
38,2280,-172.37598231631696,2.4083743,0.8232345549829861
39,1311,-106.82918311243954,1.9830577,0.8191388606795883
40,2299,-75.40517675761127,2.2749596,0.8150635429647646
41,2128,-109.32340917338433,2.1724288,0.8110085004624524
42,2907,-36.0624756071074,3.5282922,0.8069736323009478
43,1919,-174.0619991537659,2.8834338,0.8029588381103959
44,2109,-103.58579765491282,2.493219,0.7989640180202945
45,1881,-64.37829176541925,2.6639924,0.7949890726570096
46,2565,-184.28138690807083,2.555069,0.7910339031413032
47,2546,-156.23285180215393,2.60128,0.7870984110858739
48,1995,-148.92506633179153,2.4432142,0.7831824985929094
49,2109,-84.06942091671603,2.9351337,0.7792860682516513
50,2508,-67.12826203915998,3.1318803,0.7754090231359715
51,2166,-219.97907038579172,3.0088062,0.7715512668019617
52,1387,-129.6957807605465,3.3896866,0.7677127032855341
53,2432,-182.64044753685653,3.6417,0.763893237100034
54,2755,4.062261759470303,3.648301,0.7600927732338647
55,2489,-71.86398972488499,3.9191825,0.7563112171481242
56,1805,-290.97151084103103,3.3807392,0.752548474774253
57,2584,-106.33529085382979,3.663154,0.7488044525116946
58,3021,-73.01887360834661,4.139801,0.7450790572255668
59,1900,-227.28705660830633,4.4426155,0.7413721962443451
60,2033,-40.601962581622104,4.4657307,0.7376837773575574
61,1577,-108.9358475615997,4.2718487,0.73401370881349
62,2223,-41.70782771443112,4.770095,0.7303618993169055
63,2128,-123.5279835389223,4.695186,0.7267282580267718
64,1653,-134.28379849516242,4.004487,0.7231126945540018
65,1311,-90.69322464829133,4.7000265,0.719515118959206
66,2565,-64.80790644155148,4.5090666,0.7159354417504538
67,2888,-84.06452335997785,4.3768454,0.7123735738810486
68,2470,-85.89553724447592,5.8965645,0.7088294267473121
69,2451,-275.24008774199655,6.1618447,0.7053029121863803
70,1900,-40.13866268667581,5.484151,0.7017939424740103
71,2394,12.273284415898772,5.66256,0.6983024303223984
72,1976,-179.10572943546686,5.7778635,0.6948282888780084
73,2812,-213.08182735875363,5.169036,0.6913714317194114
74,2432,-44.215786794540314,5.5234,0.6879317728551358
75,2888,-291.2991326849797,6.764881,0.6845092267215283
76,2128,-26.30863900367231,6.6567373,0.6811037081806252
77,3002,-22.95879973260959,6.7844515,0.6777151325180351
78,2698,-84.74270931601734,6.590213,0.674343415440831
79,1710,-32.45412534048563,7.3316674,0.6709884730754538
80,1672,-53.81406776670862,7.2271476,0.6676502219656257
81,2337,-43.11153259937856,6.696817,0.6643285790702744
82,2584,-72.06968689957124,6.2748685,0.6610234617614672
83,2223,-181.7945699846082,6.784995,0.6577347878223555
84,2888,-74.35750690078218,7.634458,0.6544624754451299
85,2774,-30.808336206980528,7.7404375,0.651206443228985
86,3192,-20.190808196837736,7.881695,0.6479666101780946
87,3097,-61.3062503631092,7.630721,0.6447428956995968
88,1976,-67.6289143345711,7.7126284,0.6415352196015889
89,3325,7.7909262323724136,7.2719865,0.6383435020911333
90,1957,-26.67772889446985,7.6382217,0.6351676637722721
91,1501,-66.10435320093406,8.651792,0.6320076256440519
92,2907,2.0747009075043934,8.402024,0.6288633090985591
93,2698,-0.5149797148436903,9.110771,0.6257346359189644
94,2679,11.842409352448001,9.110884,0.6226215282775766
95,3382,-90.4381381425141,8.906392,0.6195239087339071
96,2204,-103.97517127735375,9.099394,0.6164417002327434
97,2299,-54.37664137340212,8.954737,0.6133748261022323
98,2964,-32.660436142239135,10.3874,0.6103232100519724
99,2280,-74.25690173348528,9.8547535,0.6072867761711169
100,1311,-71.30237126240547,11.20533,0.6042654489264846
101,4826,-68.21238839620415,10.046123,0.6012591531606812
102,2508,-314.75771654321846,10.095777,0.5982678140902301
103,4465,-24.640578410199765,10.250967,0.5952913573037116
104,1273,-56.42535265395365,10.027896,0.5923297087599121
105,1615,-33.648587175042735,10.272249,0.5893827947859822
106,3496,-17.732091273379837,11.070427,0.5864505420756042
107,2356,-57.661459557325415,11.260141,0.5835328776871684
108,2869,-176.9267586853225,11.3414135,0.5806297290419588
